time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/8/2022 23:18:37,1,8,14,キューをリングバッファとして実装する際に，headとtailの位置を更新する部分が最も重要だと考えた．,20,キューをリングバッファとして実装する際に，headとtailの位置を更新する部分が最も重要だと考えた．1番目と全く同じ重要度であるが，便宜上2番目とした．,27,この問題を解く際にキューを使うという発想が重要だと考えた．キューの実装の方がより重要と考え，3番目とした．,,とても理解できた。,
12/30/2022 17:51:52,10,8,14,pushされたときに、self.tailをずらしているのはqueueの実装において大切だと感じたため。,11,queueがいっぱいになった時の場合分けも1番ほどではないが、非常に重要であると思ったため。,38,queueの実装とは関係ないが、timeとqの小さい方を足すことで、正しくラウンドロビンスケジューリングのシミュレーションができ、重要であるため。,,まあ理解できた。,
1/3/2023 5:31:21,11,8,4,queueというデータ構造はかなり重要だと思います．クラス名を定義している行を選びました．,20,取り出した後インデックスを一つ進めて，先頭を移動させています．modをとって有限のリストを活用しているのも大事だと思います．queueのあくまで一部分なので2番目です．,8,初期状態をhead>tailなのはこのコードを書く上で間違えやすいかなと思ったので選びました．別の書き方もできるので3番目です．,,とても理解できた。,
12/15/2022 23:29:20,2,8,14,queueは配列を円環状に使い回しながら先頭と末尾の座標を持って実現するデータ構造であるが、その末尾の座標を円環状に持っていることを表している部分だから。,20,14行目と同様に、円環状の配列の先頭を持っている部分であるので重要であると考える。20行のほうが後に出てきているので、2番目にした。,37,プロセスの残り時間で場合分けをしながらqueueを操作している部分で、データ構造の実現の方が本質であるとは思うが、問題解決部分の重要部分として3番目に重要だと考える。,,とても理解できた。,
12/11/2022 1:02:45,3,8,27,この問題のコアなところは、データ構造queueを使えば問題の設定をそのままシミュレーションできることに気付くことなので。,37,queueを使って実際に問題の状況をシミュレートしているところはここだから。,7,リングバッファを用いたqueueのどこが一番大事かは少々微妙だがしいて言えば8行と合わせてここのインデックス管理だけでqueueが実装できることかなあ、と思ったから。,,とても理解できた。,
12/21/2022 12:32:03,4,8,37,ラウンドロビンスケジューリングを実現するために、キューを更新するか、printするかを決めている部分だから。,13,キューにプッシュするときにどのインデックスに入れるかを決めているため。キューとしては重要だが、処理は比較的単純。,19,キューのポップを行う本質的な部分。2番のプッシュより処理はもっと単純である。,,とても理解できた。,
12/28/2022 15:38:43,5,8,13,データがQueueを模した配列にどのように格納されているかのイメージを掴むことができるから,14,上記のデータの格納について理解することにあわせて、14行目を読むことでtailがどのような挙動をしているか分かるようになるため,19,データ構造についてイメージを掴めていることが前提となるが、popがどちらがわから行われているかを読み取ることができるから,,まあ理解できた。,
12/14/2022 14:25:24,6,8,37,問題固有の本質的な処理を行なっている唯一の部分であると言える。,14,リングバッファによるキューの実装で必要な処理だから。問題固有の部分ではないので 1 番ではない。,20,リングバッファによるキューの実装で必要な処理だから。2 番と同様に重要。,,とても理解できた。,
12/13/2022 23:27:20,7,8,5,初期値の段階でheadとtailの位置を決めておくことでqueueのアルゴリズムが簡単に実現できるということがこの初期化関数でわかるから．,19,"queueのアルゴリズムの特徴である，取り出す時は先頭の要素からということがこの行で表されているから．
1番でない理由としては，queueのアルゴリズムの説明は問題中でなされているから．",13,"queueの挿入時は末尾に挿入するということがこの行で表されているから．
3番目である理由は，stackなど他のアルゴリズムでも挿入では末尾に挿入することが多いため，違いがないから．",,まあ理解できた。,
12/17/2022 22:25:57,8,8,37,問題の要求に応えるために、データ構造そのものだけでなく、その使い方も工夫する必要があるというところだから。,13,queueにpushするという、データ構造において重要な作業だから。1番目に比べると簡単だと思ったため2番にした。,19,queueからpopするというのもデータ構造において大切だから。2番と重要度はほぼ同じ。,,あまり理解できなかった。,
12/16/2022 18:31:40,9,8,37,キューを用いてラウンドロビンのシミュレーションを行う部分であり、この部分の処理が間違っているとシミュレーションがうまくいかないことになり、問題の本質部分に関わっているといえるから。,14,リングバッファ方式でキューの末尾を伸ばしていく処理を行っており、この部分が正しくないと正しくキューが動作しないため。キューの実装箇所であるため、この問題特有の処理ではないと考えたため、1番とはしなかった。,24,キューが空であることの条件を書いており、この部分が正しくないと正しくプログラムが終了しないため。キューの実装の本質部分ではないと考えたため、1番や2番とはしなかった。,20行目。キューの先頭を縮める処理を行う箇所であり、14行目同様に、キューを正しく動作させる上では欠かせない箇所である。,とても理解できた。,
