time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/12/2022 2:24:16,1,16,2,注目している要素を，既にソートされた配列のどこに入れるかを決定することを繰り返し，最終的に全ての要素をソートするというアルゴリズムの考え方を表現していると考えたため．,5,"要素を入れ替えるための条件を定義した部分であり，ミスが起こりやすいと考え選択した．
1番目の行の方がアルゴリズムの全体像を捉えていると考えて2番目とした．",8,注目している要素の挿入位置が決定される部分であるため選択した．ロジックとしては平易であるため3番目とした．,,とても理解できた。,
12/30/2022 21:09:26,10,16,6,tmpより大きい部分を後ろにずらすことは挿入ソートにおいて、最も重要であると思ったため。,8,1番に気をつけた上で、止まったところで退避させた値を戻すことが、2番目に重要だと思ったため。,4,1番や2番と比べて、容易だが、一旦別の場所に退避させることが重要であると思った。,,まあ理解できた。,
1/3/2023 6:47:11,11,16,6,挿入することで，一つずつ横にずれていくことがわかる行であるから．,5,一つ後ろ倒しにしていく条件が定められている箇所だから．実際に操作をしているほうが重要に感じたので2番目にしました．,2,前から一つずつみていくことがわかる一行だと思います．どっち方向から見ていくかはあまり大事でないので，3番目にしました．,,とても理解できた。,
12/16/2022 22:10:45,2,16,5,挿入ソートは配列を前から見ていってハマるところに挿入するアルゴリズムだが、ハマるところを探している行なので、最重要であると考えた。,6,挿入するためにいままで完成させた部分を後ろにずらしている部分なので、ここが次に重要であると考えた。,4,挿入する前に後ろに要素をずらしていくので、挿入する要素を覚えていかないといけないので、これも重要。サブ的な理由なので3番目。,,とても理解できた。,
12/15/2022 20:17:08,3,16,15,挿入ソートが良いアルゴリズムかは置いておいてこの解き方においては挿入ソートを使っていることがコアだから。,5,挿入ソートは要は一つずつ要素がどこに入れるのが適切なところか探すアルゴリズムなので比較探索箇所が重要だと考えた。,8,ホントにしいて言えばだが、最後にそこのインデックスの値を確定させるところなので。,,とても理解できた。,
12/21/2022 14:45:05,4,16,5,挿入する場所を探すという挿入ソートで最も重要な判定があるから。,8,適切な場所に挿入するという処理をしているため。ただ代入しているだけだから。,6,挿入場所の探索の段階で必要な、ずらす処理を行なっているため。必要な処理ではあるが、挿入ソートの本質からは少し離れている。,,とても理解できた。,
12/28/2022 17:38:32,5,16,6,挿入ソートという名前に反し、要素の挿入をswapの連続で実装しているため、理解に時間がかかり、最重要だと考えた。,4,6行目を含むwhile文を読解しているときに、tmpという数値が更新されないことを理解するため、定義文が6行目の次に重要だと考えた。,3,while文の中で、1度目の処理でarr[i]がswapの対象になるようになっている。これはコードを良く読まないとわからず、この手がかりが3行目にあるため3番目に重要だと考えた。,,とても理解できた。,
12/14/2022 15:42:20,6,16,8,実際に配列の更新を行うことでソートを実現している部分である。,5,tmp 以下の要素が現れない限り、という j を更新し続ける条件を表す、ソートの挙動を端的に示す部分である。1 番に対して従たる部分。,6,要素を一つずつ右にずらしていくという、これもソートの挙動を端的に示す部分。1 番や 2 番に対して従たる部分。,,とても理解できた。,
12/15/2022 8:41:24,7,16,15,この問題の解法では，挿入ソートとよばれるアルゴリズムを利用すれば良いということがこの一行で分かるから．,5,"挿入ソートアルゴリズムでは，配列の要素を自分より左側の数字に自分より大きい数がないように要素を挿入していくことをこの文の条件で表しているから．
1番でない理由としては，挿入ソートアルゴリズムを知っている場合はこの操作を行う必要があることを理解できるから．",2,"一番先頭の要素から順に見ていくことで配列全体をソートできるため，どのようにループを回すのかということは重要だと思ったから．
2番ではない理由は，挿入操作自体の方がソートにおいて重要だったと思ったから．",,まあ理解できた。,
12/18/2022 1:45:33,8,16,5,挿入ソートで、選んだ一つの値を挿入する場所を探すための大事な処理だから。,6,挿入するスペースを空けるために一つずつずらしていくというのも大事な処理だから。ループそのものの方が重要なので2番とした。,4,動かすものをtmpとしておいておかないと書き換わって使えなくなってしまうので、プログラムを書く上では大切。アルゴリズムの本質ではないので3番とした。,,まあ理解できた。,
12/20/2022 2:00:32,9,16,5,挿入ソートにおいて、選んだ要素をどこに挿入するべきかの条件を表す行であるから。左が右より大きい間はカーソルを左にずらすというのが、ソートアルゴリズムの本質部分であるため、一番重要と考えている。,6,実際に数列の値をひとつずつずらしている処理を表しているから。前の条件を受けて、それに応じてずらす処理を行っているので、1番目ではないと考えている。,8,最後に、最初に選んだ値を実際に挿入する箇所を表しており、ここが間違っていると正しく動作しないから。先ほどの2つに比べると本質ではないため、この部分は1番目や2番目ではないと考えている。,,とても理解できた。,
