time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/8/2022 23:26:43,1,9,21,割り算の結果の剰余を求める際には逆元を用いることが必要であるという最も注意すべき点に対応しているため．また，冪乗を求めるために繰り返し二乗法を用いることも示されている．,7,冪乗を求めるための繰り返し二乗法の考え方を端的に表している部分であるため選択した．一方で計算の最も難しい部分である1番目よりは重要ではないと考えた．,25,この問題の答えである場合の数を求めている部分であるため選択した．アルゴリズムとしての工夫が凝縮されている1番目，2番目の部分ほど重要ではないと考えた,,とても理解できた。,
12/30/2022 18:04:48,10,9,21,"コンビネーションのfactorial(n) * power_mod(factorial(n - k), MOD - 2) * power_mod(factorial(k), MOD - 2) % MODとすることは、逆元の考えなどを用いており、重要だと思った。",7,剰余を取りながら計算することも、1番ほどではないが、とても重要だと思ったため。,25,"シンプルに組み合わせの数を使って、経路数を求めるという考えもコードは1,2番よりシンプルであるが重要だと思ったため。",,まあ理解できた。,
1/3/2023 5:39:07,11,9,21,modにおいて割り算をするときにmod-2乗と同等という知識は大事かなと思います．,7,繰り返し自乗法の要だと思ったからです．この問題の条件がゆるゆるであれば必要なくなるので2番目にしました．,13,繰り返しつかうfactorialを切り出して関数にもっておくのは大事だと思います．この問題特有の話ではないので3番目です．,,とても理解できた。,
12/15/2022 23:34:05,2,9,21,二項係数をもとめる必要がある問題だが、その二項係数の計算をしている部分であり、最重要であると考える。,4,二項係数を計算するには逆元を計算する必要があるが、そのためにはp-2乗を計算する必要があるので、powを計算する関数は次いで重要であると考えた。,25,問題の答えがdp等での数え上げではなく、二項係数で表すことができることを表しており、アルゴリズムの本質部分ほどではないが、問題を解く上では重要な観察が含まれていると考えた。,,とても理解できた。,
12/11/2022 1:08:43,3,9,25,この問題で一番コアなのは答えをcombination一発で求められることに気付くことだから。,21,modをとるcombinationの効率的な計算は階乗をつかうことや、階乗の逆元がフェルマーの小定理で求められることが重要だから。,7,9行目と合わせてn乗を求める時に繰り返し2乗法を用いると効率的に求められることが大事だから。,,とても理解できた。,
12/21/2022 13:00:49,4,9,21,"
power_mod()を適切に利用して組み合わせの計算をしているため。与える引数も複雑で考える必要がある。",25,答えを求めるためにcombination()に適切な引数を与えている部分だから。引数を決めているだけで本質的な処理の部分ではない。,7,power_modを適切に計算するために再起処理を行なっているため。power_modは大事だが、このプログラムの中では道具の1つ。,,まあ理解できた。,
12/28/2022 15:46:44,5,9,25,そもそも、この経路パターン数の問題をnCrの形式に落とし込めること自体ある程度の発想と数学力が必要であるため、combination関数を呼び出している部分がもっとも重要であると考えた。,21,Combination関数の実装の本体であり、nCrの求め方を知るための重要なコードであるため、nCrを使う事自体の次に重要だと考えた。,7,"combination関数ではfactorial,power_modの２種類の関数を呼び出しているが、factorial関数はMODを用いていること以外は自然な実装であるのに対し、power_modは繰り返し二乗法を用いており、理解が必要であるため、３番目に重要な部分だと考えた。","8,9: 繰り返し二乗法における実際の計算を担っている部分であるため、再帰の部分の次に大切であると考えた。",まあ理解できた。,
12/14/2022 14:29:52,6,9,25,combination というよく知られた関数を用いて問題の解答を端的に記述しているから。,21,combination を定義した部分だから。また、逆元計算の方法が含まれている。問題固有の考察は含まれないので、1 番ではない。,7,再帰を用いた繰り返し二乗法を端的に示す行だから。単に計算量削減のために必要なものなので、1 番や 2 番ではない。,,とても理解できた。,
12/13/2022 23:45:05,7,9,25,この問題はコンビネーションによって解くことができるということがこの一行でわかるから．,21,"modありのコンビネーションの計算では，逆元を使うと計算量を抑えてできるということがわかるから．
1番である理由は，これは計算の工夫であり，問題の解法自体とは直接関わることではないため．",7,"累乗の計算が2の累乗に注目することでより計算コストを抑えられるということがしめされているから．
3番である理由は，この行の処理は1番2番で挙げた箇所に関する計算をさらに計算コストを下げるために行なっているものであるため．",,まあ理解できた。,
12/17/2022 22:30:08,8,9,21,大きい数字なのでmodをとりながら計算していく、というプログラミングならではの処理方法だから。,7,累乗の計算で、再帰を使うことで計算量を抑えるというのは重要だから。MODに比べると基本的なことだと思ったので2番とした。,25,そもそもこの計算方法で答えが求められることを知らないとこうは書けないから。数学の知識なので3番とした。,,とても理解できた。,
12/16/2022 18:49:19,9,9,21,この問題の本質は経路数を二項係数を用いてどのように計算するかというところにあり、逆元を用いた二項係数の計算を行っているこの箇所が、まさしく本質的な箇所であるといえるから。,7,繰り返し二乗法を用いて累乗を高速に計算する処理において、nを半分ずつにしていくことで高速な計算を実現していることを表している箇所であるから。問題の本質的な箇所というのではないため、1番ではないと考えた。,9,繰り返し二乗法を用いて累乗を高速に計算する処理において、nが奇数のときに行う処理を表しているため。この処理はnが偶数のときには出てこないこともあり、1番目や2番目にはならないと考えた。,"16行目。二項係数の計算に用いられる階乗の計算の処理を行っている行であるから。
25行目。今回の問題における経路数の式を表しており、ここを間違えると答えが合わないから。",とても理解できた。,
