time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/10/2022 13:26:41,1,14,5,ソートしたい配列を，2つの配列に分割してソートした結果を利用してソートすることを繰り返すというマージソートの肝となる考え方が表されている部分だと考え1番目とした．,6,ソートしたい配列を，2つの配列に分割してソートした結果を利用してソートすることを繰り返すというマージソートの肝となる考え方が表されている部分だと考えて選択した．1番目と同等の理由だが便宜上2番目とした．,11,ソート済の配列2つを使用し，2つの配列を左から見て各要素を比較することでソート済の大きい配列を得るという考え方が表されていると考えたため．配列をより小さな配列に分割するという考え方の方が重要と考え，3番目とした．,,とても理解できた。,
12/30/2022 20:44:25,10,14,5,2つに分割して再帰でマージソートすることが大切であると思ったため。,11,1番ができた上で、小さい方から順に入れていくことが2番目に重要であると思ったため。,18,1番2番ができた上で、余った要素をくっつけることが大切だと思ったため。,,まあ理解できた。,
1/3/2023 6:28:24,11,14,5,リストを分けてそれぞれでソートするという考えが表れているように感じたから．,11,それぞれのリストを見て大小を比較していることがわかる行だから．分けて比べる再帰をしている方がより重要だとおもったので2番目です．,18,2つのリストを比べた時にどちらかは最後まで見れてないので，その分の処理が必要だとわかる箇所．後処理的な位置付けだと思うので3番目に選びました．,,とても理解できた。,
12/16/2022 21:49:32,2,14,5,配列を左右に分けてsortしてmergeするのがマージソートだが、左右に分けている部分だから。,6,配列を左右に分けてsortしてmergeするのがマージソートだが、左右に分けている部分だから。2番目に出てきたので2番目。,11,ソート列をマージしている部分なので、これが次に重要だと考えた。,,とても理解できた。,
12/15/2022 19:38:56,3,14,29,この問題のコアはマージソートを含めソートアルゴリズムで解けることなので。,5,マージソートで重要なのは分割統治と尺取り法だが、分割統治の方が本質だと思ったから。,10,マージソートで重要なアルゴリズムである尺取り法の実装はこの内部だから。,6: 5行目と同様。,とても理解できた。,
12/21/2022 14:21:40,4,14,10,マージソートで適切な順番に並べていくための繰り返し処理だから。,5,マージソートの特徴である、まず半分、半分を分けていく処理を行なっているため。ただ、処理としては半分にして再起的に呼び出しているだけ。,18,残りの部分を「答え」に加える処理をしているため。ただマージソートの本質ではない。,,とても理解できた。,
12/28/2022 17:19:41,5,14,12,マージソートで実際にマージしている部分であり、15行目とともに最重要だと考えた。,15,マージソートで実際にマージしている部分であり、12行目とともに最重要だと考えた。あとの方に登場していること、else節の中であるため、12行目のほうが重要ということにした。,5,マージ処理を理解するためには、2つの配列がソート済みであることを理解している必要がある。そのため、上記2つの行の補助的な役割として5行目が重要であると考えた。,"6: 5行目と同様の理由。
18 ~ 21:計算量を減らすための工夫であり、本質的ではないが必要。",まあ理解できた。,
12/14/2022 15:16:54,6,14,11,それぞれソート済みの左列と右列から、どちらの先頭を答えの列に append するかを判定するという、ソートの根幹部分である。,5,マージソートの再帰的構造が表れている部分である。ソート自体を行うわけではないので 1 番ではない。,6,マージソートの再帰的構造が表れている部分である。2 番と同様に重要。,,とても理解できた。,
12/15/2022 1:55:43,7,14,29,今回の解法ではマージソートとよばれるアルゴリズムを用いるということがこの行で分かるから．,5,"マージソートは再起関数で小さい範囲から徐々に範囲を大きくしていくことで最終的に配列全体をソートできるということが分かるから．(6行目も同様だと思います．)
1番でない理由は，マージソートというアルゴリズムを知っていればどのようにそのアルゴリズムを実現できるかはわからることだから．",11,"マージソートにおいて，二つに分けてソートした配列をどのように1つにマージするかをこの条件分岐で見ることができるから．
3番である理由は，マージソートのアルゴリズムの一部であり，このこと自体がすごく重要であるわけではないから．",,まあ理解できた。,
12/18/2022 1:10:39,8,14,5,2分割したものを組み合わせて行ってソートするというマージソートのやり方をよく表している一文だから。,11,マージソートにおいて、マージしていく順番を記述した重要な一文だから。1番の方がこのアルゴリズムをよく表していると思ったので2番にした。,2,コーナーケースを記述するのも重要だから。あくまでコーナーケースなので3番にした。,,まあ理解できた。,
12/20/2022 1:48:11,9,14,11,左の値と右の値を比較して、小さいほうを先に配列memに格納することを表しており、この部分が配列をソートできることの本質であるから。,5,マージソートが再帰的に左半分の要素と右半分の要素を呼び出していることを表す行であるから。配列をソートできることの本質部分ではないため、この部分は1番ではないと考えている。,10,左右どちらかの要素がなくなったら処理を終えることを表している行であるから。実装上の問題であり、アルゴリズムの本質部分とは言いにくい部分なので、この順位と考えている。,"6行目：5行目と同じく、再帰的に求めることを表しているので、重要だと考えている。
18～21行目：左右どちらかの要素がなくなった場合、なくなっていない方の要素の残りを入れることを表しているため、重要だと考えている。",とても理解できた。,
