time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/13/2022 20:49:40,7,1,8,配列の右側に関してこの行の条件をつけながら探索していくことで，正解を導き出すことができるから．,2,"配列に0が含まれている場合をあらかじめ抜いておくことで，例外なパターンを排除でき，メインとなるアルゴリズムを実装できるから．
一番ではない理由としては，これは0を含むという例外的なパターンのみにしか対応せず，基本的なアルゴリズムとは関連が薄いから．",15,"rightをleftのたびに更新せず，前回のループで計算したものをそのまま利用することで計算量を落とすことが可能となっているから．
1番や2番ではないのは，これは計算量を減らすためであり，この処理がなく，全て計算を行なっても答え自体は導き出せるから．",12: この条件式があることでバグがなくアルゴリズムを実行できるから．,まあ理解できた。,
12/13/2022 21:01:11,7,2,37,この問題の回答ではセグメントツリーと呼ばれるアルゴリズムを用いるということが明示されており，これを思いつけるかどうかが問題を解く鍵だと思うから．,14,"セグメントツリーの基本的な構造が分かり，この構造からどのように問題を解くのかを考えることができるから．
1番でない理由としては，「セグメントツリー」というアルゴリズム名があったほうが問題の全体的な解き方を把握しやすいから．",29,"セグメントツリーでどのように特定の範囲の和を取得するのかということについて，再帰で和を取得するということがこの行でわかるから．
3番である理由としては，この部分だけではどのように値の更新などを行うかといったことについては分からず，問題の解き方に直結していないから．",,まあ理解できた。,
12/13/2022 21:26:16,7,3,12,返す配列のindexを持ち，indexをインクリメントしながら最終的な配列を更新していくことで，問題文の疑似コード部分の「C[i] に i 以下の数の出現数を記録する」操作が必要ないということが分かるから．,11,"配列の要素を一回一回書き換えるのではなく，for文であらかじめ決められた回数繰り返して同じ数を代入すればよいということが分かる．
1番でない理由としては，indexという変数をつかっているおかげで実現できるから．",7,"問題文の疑似コードでの「 C[i] に i の出現数を記録する 」という操作を実行している部分にあたるから．
3番である理由は，ほとんど疑似コード通りであることから．",,まあ理解できた。,
12/13/2022 21:34:08,7,4,32,中間順巡回においては先に各ノードより左に位置するノードを見るということが重要であり，それがここで現れているから．,38,"先行順巡回では先に自分自身のノードを見てからその子のノードへと移っていくことがこの行で現れているから．
1番でない理由は，中間順巡回に比べてこちらの方が直感的だと思ったから．",12,"疑似コードで触れられている二分木のinsertを実際に実装している部分だから．
3番である理由は，この問題では中間順巡回，先行順巡回でのノードの巡り方のアルゴリズムの違いが問われており，ここは本質ではないと思ったから．",,まあ理解できた。,
12/13/2022 21:42:52,7,5,19,深さ優先探索が再帰関数で実現可能であるということがここの一行で現れているから．,20,"その頂点の探索終了時間は，そこに続く頂点の探索が全て終わった後にするため，for文を抜けた後に終了時刻を記録するという間違えやすい条件がここで現れているから．
1番でない理由としては，深さ優先探索自体のアルゴリズムの実現の方が重要であると考えたから．",26,"未発見の頂点がある場合はそこを支点に深さ優先探索を始めていくことで，全ての点を網羅することができるということがこの一行で現れているから．
3番である理由はこのことは問題文でも指摘されていることだから．",17: 一度現れた頂点は無視することで，ループに陥ってしまうことを防いでいる．,まあ理解できた。,
12/13/2022 22:22:39,7,6,10,dpを行うために一番重要となる，値を更新するための条件式が書かれているから．,12,"dpの結果，最終的に求めたい答えはdp[N][W]に現れるということがこの行で現れているから．
1番目でない理由は，dpの更新アルゴリズムが分かればこのことは最終的に分かることであるから．",9,"容量Wに関するdpであることがこの行で確認できるから．
3番目である理由は，特に他のものに注目したdpでも可能であるため．",,まあ理解できた。,
12/13/2022 22:51:14,7,7,9,二部探索で一番重要である，okとngの中間の数と比較し，範囲を狭めていくという工程で重要な中間の数を算出する箇所だから．,8,"探索の終了条件をこの行のように定めることで探索の終了を定めている．
一行目でない理由は，終了条件は二部探索の一番重要な部分ではないから．",12,"答えとしてカウントされるかどうかの判断をしている部分だから．
3番目である理由は，この問題で一番問われているであろう二部探索のアルゴリズム自身とは少し外れた内容であるから．",,まあ理解できた。,
12/13/2022 23:27:20,7,8,5,初期値の段階でheadとtailの位置を決めておくことでqueueのアルゴリズムが簡単に実現できるということがこの初期化関数でわかるから．,19,"queueのアルゴリズムの特徴である，取り出す時は先頭の要素からということがこの行で表されているから．
1番でない理由としては，queueのアルゴリズムの説明は問題中でなされているから．",13,"queueの挿入時は末尾に挿入するということがこの行で表されているから．
3番目である理由は，stackなど他のアルゴリズムでも挿入では末尾に挿入することが多いため，違いがないから．",,まあ理解できた。,
12/13/2022 23:45:05,7,9,25,この問題はコンビネーションによって解くことができるということがこの一行でわかるから．,21,"modありのコンビネーションの計算では，逆元を使うと計算量を抑えてできるということがわかるから．
1番である理由は，これは計算の工夫であり，問題の解法自体とは直接関わることではないため．",7,"累乗の計算が2の累乗に注目することでより計算コストを抑えられるということがしめされているから．
3番である理由は，この行の処理は1番2番で挙げた箇所に関する計算をさらに計算コストを下げるために行なっているものであるため．",,まあ理解できた。,
12/14/2022 0:19:10,7,10,12,dpで必要なdpテーブル更新のための方程式が明示されている部分だから．,4,"どのようなdpテーブルを構築するのかが書かれている部分だから
1番目でない理由は，dpで一番重要なのはどのように更新の条件を立てるかだと思ったから．",14,"最終的にも止まる答えがdpテーブルのどこにあたるのかということを示している部分だから．
3番である理由は，1,2番で示した部分が分かれば，この部分も直感的に分かるのではないかと思うから．",,まあ理解できた。,
