time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/15/2022 18:51:04,9,1,8,尺取り法における、範囲を伸ばせる条件を指定しており、この部分の判定が正しいかどうかが、アルゴリズムが正しく動くための核であると考えたから。,11,答えの値の更新を行っており、これが無いとアルゴリズムが正しい答えを返さないから。ただし、この部分はアルゴリズムの核とは言えないため、1番ではないと考える。,2,配列の値の中に0があった場合というコーナーケースに対する例外処理を行っており、これがないとコーナーケースに対して正しい値を返さないから。ただし、この部分はメインのアルゴリズム部分ではないため、重要度は先ほどの2つに比べると落ちると考える。,12行目。細かいところではあるが、尺取り法における左のポインタと右のポインタが等しい値を指したときの処理を行っており、アルゴリズムを実装する上では大事な要素となる。,とても理解できた。,
12/15/2022 19:24:06,9,2,29,セグメント木における一番大事な要素は、区間和の計算方法であり、中でも左半分の区間の結果と右半分の区間の結果をマージすることを再帰的に繰り返すことで出来る、ということが最も大事な要素と考えている。29行目はまさしくこのことを表している行であるから。,27,区間和の計算において、今見ている区間が求めるべき区間にすべて含まれる場合は今見ている区間の結果をそのまま返す、ということが計算量削減のために重要であるから。ただし、このことは左半分の結果と右半分の結果をマージする、ということが前提となっているため、あくまで1番ではないという立ち位置でいる。,21,セグメント木においては一点更新の仕方が区間和の処理の仕方の次に重要なポイントであると考えており、21行目はまさしく一点更新の仕方を言い表しているから。,3～6行目。セグメント木のサイズを2のべき乗にするという処理を行っている行であるため。,とても理解できた。,
12/15/2022 20:01:50,9,3,7,計数ソートのエッセンスは、「何の要素が何個ある」という配列を組み立てる部分だと考えており、7行目はそれを言い表したものだと言えるから。,12,12行目の処理は配列に計数ソートの結果を小さい順に並べる部分の処理であり、この処理は結果を正しく返す上では大事であるから。アルゴリズムの中心の部分ではないため、この部分は2番目に重要である。,13,インデックスを1ずつ進める箇所も、アルゴリズムを正しく動作させるという処理の一部分では重要であるから。あくまでアルゴリズムの本質の部分ではなく、処理の一部分にすぎないため、この部分は3番目に重要であると考えている。,,とても理解できた。,どこが大事な箇所なのかは比較的早い段階で思いつくのですが、その中での順位付けをするのが大変だと感じます。
12/15/2022 20:46:05,9,4,19,いま見ているノードよりも値が小さいときには左のノードに進むことを表す処理を表す箇所であり、二分探索木の作り方を分岐によって表現する点で重要であると考えている。,21,二分探索木に値をセットするところであり、左のノードに進んだときに値が存在しなければそこに置く、という処理を表す箇所であり、二分探索木の進む方向を決めた後の処理を表現している点で、進む方向を決める処理の次に重要であると考えている。,32,二分探索木の巡回を、再帰によって行うことを表しているから。この問題では二分探索木の構成が本質であると考えているため、先述の2つよりは重要度は低いと考えている。,"15行目。二分探索木に値がまだ入っていないときの処理を、別途場合分けによってあらわしている点で重要だと考えている。
24・26行目。それぞれ「一番大事な処理」「二番目に大事な処理」を左に進む場合で述べたが、右に進むの場合も当然重要である。
33・34・38～40行目。「三番目に大事な処理」を32行目で述べたが、これらの行も同じく二分探索木の巡回を再帰によって行うことを表しており、重要である。",とても理解できた。,「左と右」や「通りがけ順と行きがけ順」のように、重要な行の中に2つのものが並列で並んでいるような箇所があり、それらの順位付けの扱いをどうするのかが非常に難しいと感じました。
12/15/2022 20:54:01,9,5,19,深さ優先探索の方法（今いる頂点と隣り合っている頂点の再帰呼び出し）を表しており、アルゴリズムの本質部分であるため、最も重要であると考えている。,17,深さ優先探索で、一度訪れた頂点を訪れないようにする処理が書かれており、探索が終わらないことを防止する役割があるから。ただ、探索の方法のほうが重要であると考えているため、1番大事というわけではないと考えている。,15,訪れた時間帯を記録する箇所であり、結果を出力する上では大事であるが、アルゴリズムの本質部分ではないから。,20行目。15行目同様に、訪れた時間帯を記録しているため、15行目と同じく重要である。,とても理解できた。,
12/15/2022 20:59:02,9,6,10,DPの遷移を表しており、DPの問題においては遷移が最も大事な箇所であると考えているから。,7,DPの初期値を表しているから。DPの問題においては初期値が遷移の次に大切であるので、この順番である。,12,DPテーブルの中で、答えが格納されている場所を表しているから。DPテーブルの中でこの場所に答えが格納されていることは、DPテーブルが正しく更新されたことが前提であるため、優先順位は前者二つに比べると低くなる。,,とても理解できた。,
12/16/2022 18:13:26,9,7,2,二分探索の中において、判定の条件を関数化したものであり、ここが間違っていると二分探索が正しく動作しないという点で一番大事なポイントだと考えているから。,8,二分探索における終了条件を明記しており、ここが正しくないと正しく終了しないため。判定の条件とは違い、問題によって異なるような箇所ではなく、常に同じような処理をする箇所であるため、1番ではないと考えた。,10,データが配列の中に見つかった場合にTrueが返せるような処理を別立てで行っている箇所であるから。この部分は今回の問題特有の箇所であり、一般の二分探索の問題で現れる箇所ではないため、1番や2番ではないと考えた。,16行目。この部分では、データが見つからなかった場合にFalseを返しており、10行目同様に重要だと考えた。,とても理解できた。,
12/16/2022 18:31:40,9,8,37,キューを用いてラウンドロビンのシミュレーションを行う部分であり、この部分の処理が間違っているとシミュレーションがうまくいかないことになり、問題の本質部分に関わっているといえるから。,14,リングバッファ方式でキューの末尾を伸ばしていく処理を行っており、この部分が正しくないと正しくキューが動作しないため。キューの実装箇所であるため、この問題特有の処理ではないと考えたため、1番とはしなかった。,24,キューが空であることの条件を書いており、この部分が正しくないと正しくプログラムが終了しないため。キューの実装の本質部分ではないと考えたため、1番や2番とはしなかった。,20行目。キューの先頭を縮める処理を行う箇所であり、14行目同様に、キューを正しく動作させる上では欠かせない箇所である。,とても理解できた。,
12/16/2022 18:49:19,9,9,21,この問題の本質は経路数を二項係数を用いてどのように計算するかというところにあり、逆元を用いた二項係数の計算を行っているこの箇所が、まさしく本質的な箇所であるといえるから。,7,繰り返し二乗法を用いて累乗を高速に計算する処理において、nを半分ずつにしていくことで高速な計算を実現していることを表している箇所であるから。問題の本質的な箇所というのではないため、1番ではないと考えた。,9,繰り返し二乗法を用いて累乗を高速に計算する処理において、nが奇数のときに行う処理を表しているため。この処理はnが偶数のときには出てこないこともあり、1番目や2番目にはならないと考えた。,"16行目。二項係数の計算に用いられる階乗の計算の処理を行っている行であるから。
25行目。今回の問題における経路数の式を表しており、ここを間違えると答えが合わないから。",とても理解できた。,
12/16/2022 18:55:03,9,10,12,レーベンシュタイン距離を求めるDPにおける遷移を表しており、ここを間違えるとDPが正しく動かないから。,6,DPの初期値を格納している箇所であり、遷移ほどではないものの、DPの結果を正しく出すためには必要な箇所であるから。,14,答えがDPテーブルの中のどこに現れているかを表しているから。DPの答えが正しく求められるには、遷移や初期値が正しいことが前提であるため、遷移や初期値ほど重要ではないと考えている。,8行目。ここも6行目と同様にDPの初期値を格納している箇所であるため重要である。,とても理解できた。,
