time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/14/2022 13:39:27,6,1,8,尺取法において、区間を伸ばし続ける条件を記述する行になっているから。,10,尺取法の一部である、区間を伸ばすという処理を行っているから。1 番でないと考えたのは、問題によって変わる部分ではないから。,7,尺取法の一部である、区間をずらすという処理を行っているから。1 番や 2 番でないと考えたのは、問題によって変わる部分でなく、区間を伸ばす処理に対する従たる処理だから。,11。最終的に欲しい解答を計算している部分だから。,とても理解できた。,
12/14/2022 13:48:48,6,2,29,セグメントツリーにおいて最も複雑な、区間和を再帰的に計算する部分だから。,21,セグメントツリーにおける更新部分の根幹となる行だから。1 番でないのは、区間和計算ほど複雑ではないから。,17,うっかり忘れそうな処理だから。1 番や 2 番と比べると、瑣末な番号合わせだと言える。,,とても理解できた。,
12/14/2022 13:55:02,6,3,10,度数分布表を左から見る、というのが計数ソートにおけるソートの部分だから。,7,計数ソートに必要な度数分布表を計算する根幹の部分だから。1 番ではないのは、あくまで前処理の意味合いが強いから。,11,出現回数分だけソート結果に入ることを表す行だから。1 番や 2 番と比べると、ソートという文脈からは遠いと言える。,,とても理解できた。,
12/14/2022 14:07:06,6,4,33,出力がこの位置にあることで in order トラバーサルとなっているから。,38,出力がこの位置にあることで pre order トラバーサルとなっているから。重要度は 1 番と大して変わらないが、こちらの方が若干自明な気もする。,21,二分探索木構築において最も重要な、新たなノードを生成している部分だから。1 番や 2 番ではないのは、これは二分探索木における一般的な処理であり、本問はトラバーサルの部分の方を問われているから。,26。21 行目と同様に重要,とても理解できた。,
12/14/2022 14:10:29,6,5,19,深さ優先探索の実装の特徴である、再起的呼び出しを行っている部分だから。,15,解答となるタイムスタンプを更新している部分だから。1 番ではないのは、比較的自明だと言えるから。,20,解答となるタイムスタンプを更新している部分だから。実際 2 番と同程度に重要だと思う。,,とても理解できた。,
12/14/2022 14:16:56,6,6,10,動的計画法の根幹である、テーブルの更新を行っている部分だから。,7,動的計画法の更新の初期条件が含まれているから。漸化式においては更新式の次に重要と言えるだろう。,8,テーブルの更新順序を規定している行だから。1 番や 2 番の部分が決まれば自然に定まるので、それらより重要とは言えない。,9。8 行目と同様に重要。,とても理解できた。,
12/14/2022 14:21:09,6,7,13,二分探索の根幹である、解の存在範囲を半分に狭める部分だから。,15,二分探索の根幹である、解の存在範囲を半分に狭める部分だから。1 番と同様に重要。,8,あり得る解が 1 つになるまで探索するという終了条件を表す部分だから。解の狭め方に比べると従たる部分であると言える。,,とても理解できた。,
12/14/2022 14:25:24,6,8,37,問題固有の本質的な処理を行なっている唯一の部分であると言える。,14,リングバッファによるキューの実装で必要な処理だから。問題固有の部分ではないので 1 番ではない。,20,リングバッファによるキューの実装で必要な処理だから。2 番と同様に重要。,,とても理解できた。,
12/14/2022 14:29:52,6,9,25,combination というよく知られた関数を用いて問題の解答を端的に記述しているから。,21,combination を定義した部分だから。また、逆元計算の方法が含まれている。問題固有の考察は含まれないので、1 番ではない。,7,再帰を用いた繰り返し二乗法を端的に示す行だから。単に計算量削減のために必要なものなので、1 番や 2 番ではない。,,とても理解できた。,
12/14/2022 14:32:18,6,10,12,動的計画法の根幹である、テーブルの更新を行っている部分だから。,6,動的計画法の根幹である、テーブルの更新を行っている部分だから。ただし、1 番ほどテーブルの多くの部分について記述したものではない。,7,動的計画法の根幹である、テーブルの更新を行っている部分だから。2 番と同様に重要。,,とても理解できた。,
