time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/30/2022 16:27:34,10,1,8,累積がxの値を超えるまで右端を動かしていくことは、とても重要であるから。,15,左端を動かすときに、最左端の値で割り忘れないことは重要であるから。1番ではないのは、プログラムを動かすときに気付きやすいと思ったため。,12,左端右端が被った時の処理も大切であると思ったため。1番や2番ではない理由は、デバッグで気付きやすいと思ったため。,,まあ理解できた。,
12/30/2022 16:48:57,10,2,29,セグメント木の性質や再帰を使っているところが非常に重要だと思いました。,21,addもセグメント木の性質を使っていて、重要だと思いました。1番ではないのは、29行目の方が難しいと思ったため。,24,cur_r <= x or y <= cur_lのような場合分けは、忘れやすいと感じたため。1番2番ほど難しくはないのかなと思ったため。,,まあ理解できた。,
12/30/2022 17:00:00,10,3,12,結果となる配列に値を代入している行で、計数ソートを一番よく表している行だと思ったため。,7,count[i] に i の出現数を記録して、カウンタ配列を作ることは1番ほど難しくないが、重要だと思ったため。,11,"出現回数分繰り返すことは、1,2番ほど難しくないが重要だと思ったため。",,まあ理解できた。,
12/30/2022 17:12:28,10,4,19,insertするときに、左右で場合分けすることが重要であると思ったため。,15,self.rootがNoneの時の場合分けも非常に重要だと思ったため。1番ではないのは比較的気付きやすいと感じたため。,32,"再帰を使ったり、self.in_order(node.left)とprint("" "" + str(node.number), end="""")の順番に気をつけたりして、in_orderとpre_orderを実装することが重要だと感じたため。",,あまり理解できなかった。,
12/30/2022 17:25:08,10,5,17,訪れたことがあるノードをはとばすことが重要であると思ったから。,19,再帰を使っていることも、計算量的に重要だと思ったから。使わなくても、dfsはできるので1番ほど重要でないと思った。,20,v  の隣接リストを調べ終えた完了時刻を記録していて、1番や2番ほどではないが、重要だと思ったため。,,まあ理解できた。,
12/30/2022 17:30:37,10,6,10,動的計画法で一番重要な式を表していおり、重要であると感じたため。,7,dp = [[0 for _ in range(W + 1)] for _ in range(N + 1)]はdpテーブルの初期化として、漸化式ほどではないが重要だと思ったため。,12,"dp[N][W]を出力し、価値の合計の最大値を求めることが、1,2番ほど難しくないが重要だと感じたため。",,まあ理解できた。,
12/30/2022 17:38:52,10,7,8,whileの条件式によって、中の場合分けが変わってきて、ややこしくなる事があるので、重要だと思いました。,6,while abs(ok - ng) > 1:が最初に成り立つように、ng = -1と初期化することも重要だと思いました。,27,binary_searchで見つかった分ansに足すことは比較的簡単だが重要だと思いました。,,まあ理解できた。,
12/30/2022 17:51:52,10,8,14,pushされたときに、self.tailをずらしているのはqueueの実装において大切だと感じたため。,11,queueがいっぱいになった時の場合分けも1番ほどではないが、非常に重要であると思ったため。,38,queueの実装とは関係ないが、timeとqの小さい方を足すことで、正しくラウンドロビンスケジューリングのシミュレーションができ、重要であるため。,,まあ理解できた。,
12/30/2022 18:04:48,10,9,21,"コンビネーションのfactorial(n) * power_mod(factorial(n - k), MOD - 2) * power_mod(factorial(k), MOD - 2) % MODとすることは、逆元の考えなどを用いており、重要だと思った。",7,剰余を取りながら計算することも、1番ほどではないが、とても重要だと思ったため。,25,"シンプルに組み合わせの数を使って、経路数を求めるという考えもコードは1,2番よりシンプルであるが重要だと思ったため。",,まあ理解できた。,
12/30/2022 18:14:13,10,10,12,動的計画法の問題では、漸化式の部分が最も重要であると感じたため。,6,漸化式ほど本質的ではないが、初期化も非常に重要だと思ったため。,14,"dp[len(s1)][len(s2)]で答えを出す部分は、1,2番ができれば14行は書けると思ったので、3番目に重要であると思った。",,まあ理解できた。,
